TOP.670b02ca.00052e28	START
TOP.670b02ca.00052e28	folder_config->cwd	/home/jjarmon/Hashcat-Trial
TOP.670b02ca.00052e28	folder_config->install_dir	/home/jjarmon/Hashcat-Trial
TOP.670b02ca.00052e28	folder_config->profile_dir	/home/jjarmon/Hashcat-Trial
TOP.670b02ca.00052e28	folder_config->session_dir	/home/jjarmon/Hashcat-Trial
TOP.670b02ca.00052e28	folder_config->shared_dir	/home/jjarmon/Hashcat-Trial
TOP.670b02ca.00052e28	user_options->encoding_from	utf-8
TOP.670b02ca.00052e28	user_options->encoding_to	utf-8
TOP.670b02ca.00052e28	user_options->rule_buf_l	:
TOP.670b02ca.00052e28	user_options->rule_buf_r	:
TOP.670b02ca.00052e28	user_options->session	hashcat
TOP.670b02ca.00052e28	user_options->separator	:
TOP.670b02ca.00052e28	user_options->limit	0
TOP.670b02ca.00052e28	user_options->skip	0
TOP.670b02ca.00052e28	user_options->attack_mode	0
TOP.670b02ca.00052e28	user_options->backend_devices_virtual	1
TOP.670b02ca.00052e28	user_options->benchmark	0
TOP.670b02ca.00052e28	user_options->benchmark_all	0
TOP.670b02ca.00052e28	user_options->bitmap_max	18
TOP.670b02ca.00052e28	user_options->bitmap_min	16
TOP.670b02ca.00052e28	user_options->debug_mode	0
TOP.670b02ca.00052e28	user_options->dynamic_x	0
TOP.670b02ca.00052e28	user_options->hash_info	0
TOP.670b02ca.00052e28	user_options->force	0
TOP.670b02ca.00052e28	user_options->hwmon	1
TOP.670b02ca.00052e28	user_options->hwmon_temp_abort	90
TOP.670b02ca.00052e28	user_options->hash_mode	0
TOP.670b02ca.00052e28	user_options->hex_charset	0
TOP.670b02ca.00052e28	user_options->hex_salt	0
TOP.670b02ca.00052e28	user_options->hex_wordlist	0
TOP.670b02ca.00052e28	user_options->hook_threads	20
TOP.670b02ca.00052e28	user_options->identify	0
TOP.670b02ca.00052e28	user_options->increment	0
TOP.670b02ca.00052e28	user_options->increment_max	256
TOP.670b02ca.00052e28	user_options->increment_min	1
TOP.670b02ca.00052e28	user_options->keep_guessing	0
TOP.670b02ca.00052e28	user_options->kernel_accel	0
TOP.670b02ca.00052e28	user_options->kernel_loops	0
TOP.670b02ca.00052e28	user_options->kernel_threads	0
TOP.670b02ca.00052e28	user_options->keyspace	0
TOP.670b02ca.00052e28	user_options->left	0
TOP.670b02ca.00052e28	user_options->logfile	1
TOP.670b02ca.00052e28	user_options->loopback	0
TOP.670b02ca.00052e28	user_options->machine_readable	0
TOP.670b02ca.00052e28	user_options->markov_classic	0
TOP.670b02ca.00052e28	user_options->markov	1
TOP.670b02ca.00052e28	user_options->markov_inverse	0
TOP.670b02ca.00052e28	user_options->markov_threshold	256
TOP.670b02ca.00052e28	user_options->metal_compiler_runtime	120
TOP.670b02ca.00052e28	user_options->multiply_accel	1
TOP.670b02ca.00052e28	user_options->backend_info	0
TOP.670b02ca.00052e28	user_options->backend_vector_width	0
TOP.670b02ca.00052e28	user_options->optimized_kernel	0
TOP.670b02ca.00052e28	user_options->outfile_autohex	1
TOP.670b02ca.00052e28	user_options->outfile_check_timer	5
TOP.670b02ca.00052e28	user_options->outfile_format	3
TOP.670b02ca.00052e28	user_options->outfile_json	0
TOP.670b02ca.00052e28	user_options->wordlist_autohex	1
TOP.670b02ca.00052e28	user_options->potfile	1
TOP.670b02ca.00052e28	user_options->progress_only	0
TOP.670b02ca.00052e28	user_options->quiet	0
TOP.670b02ca.00052e28	user_options->remove	0
TOP.670b02ca.00052e28	user_options->remove_timer	60
TOP.670b02ca.00052e28	user_options->restore	0
TOP.670b02ca.00052e28	user_options->restore_enable	1
TOP.670b02ca.00052e28	user_options->restore_timer	1
TOP.670b02ca.00052e28	user_options->rp_files_cnt	0
TOP.670b02ca.00052e28	user_options->rp_gen	0
TOP.670b02ca.00052e28	user_options->rp_gen_func_max	4
TOP.670b02ca.00052e28	user_options->rp_gen_func_min	1
TOP.670b02ca.00052e28	user_options->rp_gen_seed	0
TOP.670b02ca.00052e28	user_options->runtime	0
